Year,On day of arrival,1 to 2 days,3 to 7 days,8 to 30 days,1 to 3 months,3 to 6 months,6 months to 1 year,Over 1 year
2000,161,104,265,968,1561,996,552,273
2001,195,146,279,1091,1662,1000,587,258
2002,99,132,281,1074,1615,1053,566,269
2003,109,127,262,994,1539,989,663,300
2004,139,128,272,1023,1488,1068,663,370
2005,77,136,285,1227,2122,1292,854,463
2006,46,138,320,1288,2104,1441,918,539
2007,44,97,277,1133,1940,1369,1002,670
2008,52,131,259,1271,2129,1545,1095,659
2009,98,96,253,1121,2018,1454,1093,626
2010,73,99,282,1152,2071,1470,1065,638
2011,108,145,327,1260,2175,1704,1170,600
2012,52,141,342,1335,2274,1668,1092,688
2013,45,129,352,1405,2321,1919,1382,721
2014,56,171,363,1656,2783,2238,1633,897
2015,80,236,511,2062,3660,3044,2186,1202
2016,106,275,588,2587,4680,3710,2794,1756
2017,124,313,635,2669,5066,4105,3073,2079
2018,122,371,749,3149,5749,4651,3700,2348
2019,179,302,746,2902,5462,4507,3784,2533
2020,127,209,480,1783,3237,3135,2918,2019
